command,mean,stddev,median,user,system,min,max
./prime.out 500000,36.98929883869499,1.23032755711732,36.920745575395,36.876981455,0.0010161899999999997,35.327716659394994,38.925946017395
julia prime.jl 500000,1333.1539273591948,138.57656628572292,1316.400780488895,1265.8777952550001,67.42532618999999,1100.9179115253949,1555.436628532395
python3 prime.py 500000,1378.390920875195,139.77348440998406,1406.1014761473948,1374.398649455,0.01947189,1146.8230470243948,1518.6597062833948
Rscript prime.R 500000,9849.542422944194,162.08519106200396,9888.367989815895,9737.934491855,78.73694058999999,9452.361021025396,10001.382056723396
