command,mean,stddev,median,user,system,min,max
./prime.out 1000,0.0016503645433771923,0.0009382936502045639,0.0015171150049999998,0.0008995018530701756,0.0009126901864035093,0.00012576650499999996,0.0044406975050000005
julia prime.jl 1000,0.2940690958686364,0.016038951131170275,0.28952668550500005,2.2619398299999998,3.0484621886363636,0.264359743505,0.318367329505
python3 prime.py 1000,0.030939662185851074,0.005502935587038654,0.032681032005,0.02590958531914893,0.004871580319148935,0.022081822505,0.044504912505
Rscript prime.R 1000,0.222822640005,0.02159638239486728,0.236427522005,0.19133966333333333,0.03309315833333333,0.185434886505,0.242144234505
