command,mean,stddev,median,user,system,min,max
./fib.out 5,0.0009034947641883374,0.00010450526362126035,0.0008990648950000003,0.0004167918597320721,0.0007860884160756498,0.0006619458950000003,0.002288307895
julia fib.jl 5,0.25536743389500005,0.015457242924349397,0.24950805389500003,1.7809906172727272,2.7493043272727267,0.239235973895,0.28060553189500004
python3 fib.py 5,0.01810448043830708,0.0023076727213349477,0.017213940895,0.014220543543307092,0.0038758913385826765,0.016546719895000003,0.029012596895000003
Rscript fib.R 5,0.12475537210333336,0.0028048682622123103,0.12455714939500001,0.09669572333333332,0.03001535,0.12135349789500001,0.132550131895
