command,mean,stddev,median,user,system,min,max
./prime.out 2000,0.0029930457125641042,0.0014211911766679494,0.0029339762100000005,0.0021392107521367534,0.0008944008888888882,0.0007106632100000003,0.00641868021
julia prime.jl 2000,0.32599401661000005,0.017911081593320034,0.31966895221,2.30610127,3.04903416,0.30859422721,0.36527647021
python3 prime.py 2000,0.054776014858148155,0.007158993383060966,0.05410728021000001,0.04990732555555555,0.004613208148148149,0.04192242421,0.07870607321
Rscript prime.R 2000,0.37006372670999993,0.016941883859143643,0.36657156371,0.33601046999999995,0.03546866,0.35407980721,0.41371616821
